State,City,%medianIncome,%highSchoolAbove25,%belowPoverty,%White,%Black,%NativeAmerican,%Asian,%Hispanic,ID
FL,Yulee CDP,54419,87.6,11.5,90.5,5.6,0.4,0.9,3.1,CS4549
FL,Zellwood CDP,35724,84,24.2,90.6,2,0.4,0.5,12.1,CS4550
FL,Zephyrhills city,37884,83.6,15,88.7,4.9,0.2,1.4,10.4,CS4551
FL,Zephyrhills North CDP,29726,90.6,11,94,1.2,0.3,1.3,5.6,CS4552
FL,Zephyrhills South CDP,32973,84.1,15.6,94.8,1.3,0.5,0.6,5.3,CS4553
FL,Zephyrhills West CDP,35394,82.4,13,96.8,0.9,0.3,0.5,3.6,CS4554
FL,Zolfo Springs town,32174,51.5,38.6,64.7,4.2,0.5,0.6,64.4,CS4555
GA,Abbeville city,21447,69.4,37.7,41,55.8,0.1,0.5,5.3,CS4556
GA,Acworth city,53080,90.7,9.6,62.5,25.6,0.3,3.5,12.4,CS4557
GA,Adairsville city,43578,80.9,17.2,81,13.8,0.3,0.8,5.4,CS4558
GA,Adel city,35301,75.9,30.3,46.9,45.4,0.2,1,7.9,CS4559
GA,Adrian city,24861,74.3,38.5,61.1,32.1,0.6,0.3,5,CS4560
GA,Ailey city,58393,96.1,9.3,63,34.3,0,0.2,3.7,CS4561
GA,Alamo town,27500,70.2,30,40.9,57.7,0,0.1,4.3,CS4562
GA,Alapaha town,37500,84.2,27.6,36.2,61.5,0.1,0.1,3.4,CS4563
GA,Albany city,29676,79.9,33.8,25.2,71.6,0.2,0.8,2.1,CS4564
GA,Aldora town,25809,71,16.9,82.5,9.7,1.9,0,6.8,CS4565
GA,Allenhurst city,42083,87.9,20.8,47.9,44,0,2.3,5.8,CS4566
GA,Allentown city,28958,83.4,30,66.3,29,0,0,3,CS4567
GA,Alma city,29861,77.1,30.4,52.7,40.5,0.1,0.7,7.2,CS4568
